draft	milestone	type	size	title	covers	justification	assigned
PWR-@implement-charge-profiles	V2	build	M	Implement charge thresholds and power profiles	INV-1220	V2 scope: batteries and power-profile policy. Charge start/stop thresholds, low-battery actions (notify, dim, suspend), and performance/balanced/power-saver profiles mapped onto ResourceDomain energy policy that PWR reads as frequency and idle ceilings. APP GAP-0312 is the Settings UX.	PWR-019
PWR-@implement-display-power	V1	build	M	Implement display power management tied to idle, lock and lid	EXTRA-021	Critique item 21 / EXTRA-021: DPMS, panel self-refresh, idle dim and off tied to idle, lock and lid state at V1. Consumes Session idle/lock from SEC and lid events from HW; GFX retains KMS. Full lid-close-to-suspend policy is V2.	PWR-011
PWR-@implement-hibernate	V2	build	M	Deliver the accepted hibernation policy on V2 laptops		V2 scope: hibernate optional. Implements the V1 hibernation Decision: either a tested suspend-then-hibernate/full-hibernate path on both laptops, or inspectable unsupported status with no hibernation image in use.	PWR-020
PWR-@implement-inhibit-caps	V1	build	M	Implement InhibitIdle and InhibitSuspend Capabilities	GAP-0285	Incoming reassign GAP-0285: idle and sleep inhibition as Capability<InhibitIdle> and Capability<InhibitSuspend> granted per app, listed by inspect, replacing ambient D-Bus inhibitors for native software. LNX owns UPower/logind shims; APP owns shell visibility of the list this Interface exports.	PWR-012
PWR-@implement-lid-dock-power	V2	build	M	Implement lid, dock and external-display power behaviour		Synthesis: lid/dock/external-display power behaviour. V2 laptop-day demo: open lid, close lid, resume; external display at a different scale. Policy: blank versus suspend on lid with and without external displays; dock undock. LAB automates the events.	PWR-021
PWR-@implement-power-service	V1	build	M	Implement the Power Component with suspend and shutdown Operations		V1 scope and §61 require power management as a native service. Implements the accepted Layer 2 Power Component: suspend, resume, shutdown and reboot as Operations, restartable under SVC, called by SVC shutdown sequencing. Native software never sees logind.	PWR-013
PWR-@implement-suspend-resume	V1	build	L	Implement suspend and resume cycle gates on laptop and desktop	INV-1207,INV-1221	V1 exit: suspend/resume succeeds in 200 of 200 automated cycles on the Intel laptop and 100 of 100 on the AMD desktop, with Wi-Fi, display and audio functional afterwards. Owns the RTC-wake cycle harness, wake-source policy (lid, power button, RTC; USB wake off by default) and post-resume checks that MEM and TSK hook.	PWR-014
PWR-@implement-thermal-policy	V2	build	M	Implement thermal policy with capacity-loss signal to ResourceDomain	GAP-0313	V2 scope: laptops thermal. Synthesis PWR owns thermal management. Trip points, cooling and a capacity-loss signal that SCH-@thermal-intent-coordination consumes so Background and Throughput shrink first. HW owns thermal-zone drivers and function keys.	PWR-022
PWR-@inspect-power-state	V1	build	S	Expose battery, thermal, inhibit and suspend state through inspect		V1 daily-driving and the suspend/battery gates are unverifiable without inspectable power state. PWR supplies the data OBS renders via os inspect: Battery, inhibitors, suspend state, wake sources and governor. SDK owns the command surface.	PWR-015
PWR-@prove-battery-estimate	V2	build	M	Prove battery estimate accuracy against measured runtime		V2 exit: battery estimate within the register tolerance of measured runtime on both laptops. Calibrates remaining-time against B-031 discharge runs and fails CI when estimate error exceeds the gate.	PWR-023
PWR-@publish-energy-stable	1.0	benchmark	S	Publish energy numbers versus Linux and Windows on 1.0		1.0 exit: every §54 metric published for every Tier 1 machine against Linux and Windows where dual-boot exists; energy gate is idle and mixed-workload battery runtime (B-031) with no superiority claim without the table.	PWR-029
PWR-@run-v2-suspend-cycles	V2	build	M	Run the V2 suspend cycle gate on both laptops	INV-1221	V2 exit: 500 automated suspend/resume cycles per laptop with the milestone success rate and full function after. Extends the V1 harness onto the AMD laptop and both Intel and AMD lid/dock paths; LAB owns the physical rig.	PWR-024
PWR-@soak-suspend-hcl	1.0	build	S	Prove Tier 1 suspend on the 1.0 soak and HCL		1.0 definition and HCL: every listed Tier 1 feature works, including suspend and resume. Confirms the soak fleet has no open P0/P1 suspend defects and that HCL entries name the verified suspend path.	PWR-030
PWR-@spike-energy-method	V0.5	spike	M	Prototype the energy measurement method against Linux on the Intel laptop		Critique: the V1 battery gate needs the energy methodology and power meters at V0.5. Synthesis gives PWR energy measurement methodology with BEN; this spike defines meter placement, idle and mixed workloads, and comparison-image rules before B-031 is published. LAB owns meter procurement.	PWR-003
PWR-@spike-laptop-power-paths	V0.5	spike	M	Probe suspend, battery, thermal and frequency paths on reference machines		Critique ordering: laptop procurement and PWR bring-up must be V0.5 so the V1 Intel-laptop suspend and battery gates are not a cliff. Report s2idle versus S3, cpufreq drivers, battery and thermal sysfs, and lid/power-button events on the Intel laptop and AMD desktop without gating V0.5.	PWR-004
PWR-@spike-power-interfaces	V0.5	spike	M	Prototype Layer 2 Power, Battery and inhibit Interface shapes		Freeze discipline: explore Layer 2 power Interfaces before V1 freeze candidates; no Layer 1 freeze before V4 and PWR has a V0 cap of zero. Prototypes Power, Battery, DisplayPower, InhibitIdle and InhibitSuspend over Channels so the service-model adr is not a paper decision.	PWR-005
PWR-@verify-power-tier1-v3	V3	build	M	Verify suspend, battery and thermal on V3 Tier 1 machines		V3 hardware scope adds an NVIDIA desktop and one extra laptop per vendor. Re-runs the suspend harness, battery reporting, thermal policy and lid/dock paths on every new Tier 1 machine so energy republish is not on unproven suspend.	PWR-026
PWR-@verify-power-tier1-v4	V4	build	M	Verify the suspend cycle gate on every V4 Tier 1 machine		V4 exit: every Tier 1 machine (at least ten named) passes the hardware test suite including suspend/resume at the milestone cycle count and success rate each RC.	PWR-028
REL-@adr-prebuilt-policy	V3	adr	S	Decide whether the repository accepts publisher prebuilts or rebuilds every Package	GAP-0329	Release-engineering and channel integrity Decision before public third-party packages.	REL-016
REL-@automate-qualification	V3	build	M	Automate release qualification as a CI checklist	GAP-0148	Mechanical gate: milestone gates green, reproducibility, Tier 1 hardware, no unexplained benchmark regressions, upgrade and rollback chains. Implements decide-release-readiness.	REL-017
REL-@bench-crash-free-rate	1.0	benchmark	S	Publish crash-free-session and boot-success rates per channel	GAP-0367	1.0 stability gate: crash-free-session and boot-success rates that stable-channel generations must meet. Targets and method live in the benchmark register; this publishes the soak measurement.	REL-062
REL-@bench-cve-response	V3	benchmark	S	Publish inherited-CVE time-to-generation measurements	GAP-0054	V3 security-response gate requires inherited High/Critical CVE latency measured and published. Target lives in the benchmark register (BEN); this harness records time from disclosure to a shipped generation.	REL-018
REL-@build-artifact-pipeline	V3	build	L	Build once, sign and promote identical release artifacts	GAP-0147	Generation images, installer media, repository and SDK must be signed once and promoted through channels without rebuild, or testing that justified promotion is void. BLD produces; REL signs and publishes.	REL-019
REL-@build-download-site	V3	build	M	Build a download site with signatures and verification instructions	GAP-0376	Public alpha begins with a verifiable download: signature files, checksums and mirror or torrent distribution consistent with decide-distribution.	REL-020
REL-@build-publisher-pipeline	V3	build	L	Build the publisher submission, review and signing pipeline	GAP-0335,GAP-0460	V3 public repository must gate submissions: identity enrolment, manifest and Capability lint, malware and license scan, reproducibility check, human review and appeal. SDK publish tool is PKG; REL is the service.	REL-021
REL-@build-trust-store	V2	build	M	Deliver a rotatable trust store inside SystemGenerations	GAP-0324	A leaked release key must be replaceable with a normal update before public alpha enrolls devices. Lands in generations composed by PKG.	REL-010
REL-@collect-compat-reports	V3	build	M	Collect opt-in Personality compatibility reports	GAP-0366	V3 community compatibility reports into the public database: app identity, Personality version, result, workarounds. Extends publish-compat-corpus with user submissions.	REL-022
REL-@crash-dedup-dashboard	V3	build	M	Build crash deduplication, grouping and a triage dashboard	GAP-0364	V3 exit: reports appear in the tracker within a bounded window, linked to SystemGenerations and task IDs. Completes the REL end-to-end pipeline.	REL-023
REL-@decide-distribution	V3	adr	S	Decide origin, CDN and volunteer-mirror topology	GAP-0332,GAP-0397	Public alpha volume exceeds a single origin. Records the 1.0 nongoal of a project-owned global mirror network: CDN plus verified volunteer mirrors, with health checks that cannot tamper signed metadata.	REL-024
REL-@decide-hardware-tiers	V2	adr	S	Define hardware support tiers as the HCL unit	GAP-0145	§62 constrains target hardware; V2's three machines seed Tier 1. The HCL unit must exist before the V3 community database. HW owns probes; REL owns the published tier schema.	REL-011
REL-@decide-publisher-identity	V3	adr	S	Decide publisher identity and Package naming	GAP-0328,GAP-0462	A public repository without namespace ownership, key attestation and a name-squatting rule cannot stop impersonation. Trademark policy remains GOV; this ADR fixes the operational identity scheme.	REL-025
REL-@decide-rel-nongoals	V3	adr	S	Declare fleet-management and paid-app non-goals for 1.0	GAP-0396,GAP-0467	Collapse REL 1.0 nongoals into one ADR before the public repository: no MDM/fleet provisioning (SEC already scopes out directory join) and no paid applications or payouts. Options are defer versus build a store commerce stack.	REL-026
